date,pm25,pm10,no2,health_risk_score,risk_level
2025-11-09,6.595833333333334,8.679166666666667,8.220833333333333,8.92,Low
2025-11-10,3.3791666666666664,4.9125000000000005,12.720833333333333,5.56,Low
2025-11-11,4.870833333333334,7.4375,18.5,8.14,Low
2025-11-12,6.574999999999999,9.345833333333333,4.904166666666667,8.77,Low
2025-11-13,3.3041666666666667,5.3875,4.216666666666667,4.79,Low
2025-11-14,2.1875,4.879166666666666,4.891666666666667,3.78,Low
2025-11-15,1.8916666666666666,4.779166666666667,3.4,3.35,Low
2025-11-16,1.8916666666666666,4.504166666666666,3.141666666666667,3.24,Low
2025-11-17,4.7875000000000005,7.316666666666666,18.587500000000002,8.04,Low
2025-11-18,3.4291666666666667,5.1375,11.770833333333334,5.58,Low
2025-11-19,4.558333333333334,6.633333333333333,15.5625,7.34,Low
2025-11-20,6.933333333333334,9.370833333333334,6.095833333333334,9.2,Low
2025-11-21,9.470833333333333,12.183333333333332,21.166666666666668,13.66,Low
2025-11-22,2.370833333333333,4.441666666666666,5.579166666666667,3.87,Low
2025-11-23,4.958333333333333,8.766666666666667,4.179166666666666,7.18,Low
2025-11-24,4.733333333333333,6.720833333333334,9.554166666666667,6.92,Low
2025-11-25,5.583333333333333,7.045833333333333,13.7125,8.14,Low
2025-11-26,6.229166666666667,10.591666666666667,28.1375,11.18,Low
2025-11-27,3.1291666666666664,4.691666666666666,6.758333333333333,4.69,Low
2025-11-28,3.5833333333333335,6.7749999999999995,5.091666666666667,5.53,Low
2025-11-29,4.583333333333333,7.754166666666666,5.375,6.68,Low
2025-11-30,5.645833333333333,9.491666666666667,5.283333333333333,8.08,Low
2025-12-01,6.304166666666667,9.387500000000001,4.766666666666667,8.55,Low
2025-12-02,4.229166666666667,8.629166666666666,4.841666666666667,6.6,Low
2025-12-03,8.25,10.950000000000001,4.570833333333334,10.62,Low
2025-12-04,9.566666666666666,12.316666666666668,7.891666666666667,12.46,Low
2025-12-05,11.591666666666667,13.504166666666668,11.016666666666666,14.81,Low
2025-12-06,6.845833333333334,7.7875000000000005,5.979166666666667,8.64,Low
2025-12-07,5.395833333333333,6.083333333333333,4.533333333333333,6.77,Low
2025-12-08,7.8875,9.304166666666667,6.1625000000000005,9.98,Low
2025-12-09,3.4958333333333336,4.9750000000000005,6.25,5.03,Low
2025-12-10,4.058333333333334,6.154166666666666,7.2749999999999995,5.96,Low
2025-12-11,3.9458333333333333,7.175,10.012500000000001,6.44,Low
2025-12-12,2.558333333333333,4.295833333333333,8.104166666666666,4.23,Low
2025-12-13,2.983333333333333,5.679166666666667,10.454166666666667,5.24,Low
2025-12-14,2.6,3.6208333333333336,4.1499999999999995,3.67,Low
2025-12-15,4.433333333333334,7.3,8.725,6.76,Low
2025-12-16,7.529166666666666,11.754166666666668,5.2375,10.32,Low
2025-12-17,8.004166666666666,11.145833333333334,5.858333333333333,10.6,Low
2025-12-18,5.4875,7.983333333333333,7.779166666666666,7.75,Low
2025-12-19,11.029166666666667,16.133333333333333,6.0625,14.64,Low
2025-12-20,4.7250000000000005,8.583333333333334,5.0875,7.02,Low
2025-12-21,2.15,3.4958333333333336,5.270833333333333,3.37,Low
2025-12-22,2.216666666666667,3.3208333333333333,7.45,3.59,Low
2025-12-23,3.1333333333333333,5.566666666666666,13.4,5.62,Low
2025-12-24,3.3166666666666664,5.079166666666667,10.108333333333333,5.3,Low
2025-12-25,2.525,4.391666666666667,4.3875,3.86,Low
2025-12-26,3.1833333333333336,5.179166666666666,8.620833333333334,5.07,Low
2025-12-27,2.2875,4.1875,3.0041666666666664,3.46,Low
2025-12-28,1.9416666666666667,3.779166666666667,3.6999999999999997,3.12,Low
2025-12-29,1.7458333333333333,3.533333333333333,2.8541666666666665,2.8,Low
2025-12-30,1.6083333333333334,3.1458333333333335,3.5625,2.64,Low
2025-12-31,3.9125,6.470833333333334,11.441666666666668,6.35,Low
2026-01-01,3.5583333333333336,5.741666666666667,8.066666666666666,5.49,Low
2026-01-02,3.516666666666667,4.7749999999999995,3.525,4.72,Low
2026-01-03,5.6375,7.1375,7.416666666666667,7.58,Low
2026-01-04,5.145833333333333,6.566666666666666,6.5249999999999995,6.91,Low
2026-01-05,8.700000000000001,12.741666666666667,27.333333333333332,13.81,Low
2026-01-06,5.766666666666667,7.4875,6.320833333333333,7.68,Low
2026-01-07,6.691666666666666,8.245833333333334,11.445833333333333,9.19,Low
2026-01-08,4.7124999999999995,6.154166666666666,9.15,6.69,Low
2026-01-09,2.8083333333333336,4.4624999999999995,6.8125,4.36,Low
2026-01-10,2.3375,3.966666666666667,5.55,3.69,Low
2026-01-11,2.795833333333333,3.4499999999999997,3.9499999999999997,3.76,Low
2026-01-12,1.6166666666666665,1.7708333333333333,2.783333333333333,2.16,Low
